Year	Month	Day	Hour	dir	vel	tist	pres	rh	rmed
2009	9	1	0	250	17	99.9	973.3	-10	-10
2009	9	1	1	300	13	99.9	973.2	-10	-10
2009	9	1	2	340	19	99.9	973.9	-10	-10
2009	9	1	3	320	9	99.9	974.7	-10	-10
2009	9	1	4	280	24	99.9	974.7	-10	-10
2009	9	1	5	250	46	99.9	971.4	-10	-10
2009	9	1	6	270	38	99.9	971.9	-10	-10
2009	9	1	7	280	50	99.9	972	-10	-10
2009	9	1	8	290	53	99.9	972.7	-10	-10
2009	9	1	9	290	57	99.9	972.6	-10	-10
2009	9	1	10	300	55	99.9	973	-10	-10
2009	9	1	11	290	52	99.9	972.3	-10	-10
2009	9	1	12	290	49	99.9	971.6	-10	-10
2009	9	1	13	280	26	99.9	973.3	-10	-10
2009	9	1	14	270	25	99.9	972.2	-10	-10
2009	9	1	15	260	37	99.9	971.7	-10	-10
2009	9	1	16	260	25	99.9	971.9	-10	-10
2009	9	1	17	270	40	99.9	970.4	-10	-10
2009	9	1	18	270	31	99.9	970.4	-10	-10
2009	9	1	19	270	29	99.9	969.9	-10	-10
2009	9	1	20	260	31	99.9	970.5	-10	-10
2009	9	1	21	270	35	99.9	969.3	-10	-10
2009	9	1	22	270	32	99.9	969.5	-10	-10
2009	9	1	23	270	35	99.9	969.2	-10	-10
2009	9	2	0	270	32	99.9	970	-10	-10
2009	9	2	1	270	36	99.9	968.5	-10	-10
2009	9	2	2	270	33	99.9	968.9	-10	-10
2009	9	2	3	270	25	99.9	969.1	-10	-10
2009	9	2	4	270	29	99.9	968.2	-10	-10
2009	9	2	5	270	32	99.9	968.5	-10	-10
2009	9	2	6	270	31	99.9	969.2	-10	-10
2009	9	2	7	270	31	99.9	969.9	-10	-10
2009	9	2	8	270	23	99.9	970.1	-10	-10
2009	9	2	9	290	18	99.9	970.3	-10	-10
2009	9	2	10	20	9	99.9	970.3	-10	-10
2009	9	2	11	330	13	99.9	970.1	-10	-10
2009	9	2	12	330	5	99.9	970	-10	-10
2009	9	2	13	320	7	99.9	969.7	-10	-10
2009	9	2	14	310	6	99.9	969.6	-10	-10
2009	9	2	15	300	2	99.9	969.5	-10	-10
2009	9	2	16	230	3	99.9	969.7	-10	-10
2009	9	2	17	170	2	99.9	969.9	-10	-10
2009	9	2	18	20	5	99.9	969.8	-10	-10
2009	9	2	19	330	4	99.9	969.9	-10	-10
2009	9	2	20	310	3	99.9	970	-10	-10
2009	9	2	21	0	1	99.9	969.9	-10	-10
2009	9	2	22	330	5	99.9	969.8	-10	-10
2009	9	2	23	310	0	99.9	969.9	-10	-10
2009	9	3	0	360	1	99.9	969.7	-10	-10
2009	9	3	1	320	1	99.9	969.8	-10	-10
2009	9	3	2	240	2	99.9	969.7	-10	-10
2009	9	3	3	260	10	99.9	969.6	-10	-10
2009	9	3	4	0	9	99.9	969.7	-10	-10
2009	9	3	5	250	2	99.9	969.9	-10	-10
2009	9	3	6	260	7	99.9	970	-10	-10
2009	9	3	7	270	21	99.9	969.8	-10	-10
2009	9	3	8	300	37	99.9	968.1	-10	-10
2009	9	3	9	230	9	99.9	969.6	-10	-10
2009	9	3	10	240	15	99.9	969.4	-10	-10
2009	9	3	11	300	44	99.9	968.4	-10	-10
2009	9	3	12	300	39	99.9	967.4	-10	-10
2009	9	3	13	300	57	99.9	965.4	-10	-10
2009	9	3	14	300	60	99.9	965.3	-10	-10
2009	9	3	15	300	58	99.9	965.7	-10	-10
2009	9	3	16	300	53	99.9	966	-10	-10
2009	9	3	17	300	61	99.9	965.3	-10	-10
2009	9	3	18	300	51	99.9	964.5	-10	-10
2009	9	3	19	300	57	99.9	964.3	-10	-10
2009	9	3	20	290	56	99.9	965.3	-10	-10
2009	9	3	21	300	46	99.9	967.5	-10	-10
2009	9	3	22	310	34	99.9	968.3	-10	-10
2009	9	3	23	310	33	99.9	967.7	-10	-10
2009	9	4	0	300	47	99.9	966.6	-10	-10
2009	9	4	1	280	44	99.9	964.5	-10	-10
2009	9	4	2	290	56	99.9	963	-10	-10
2009	9	4	3	290	64	99.9	959.7	-10	-10
2009	9	4	4	290	67	99.9	959.6	-10	-10
2009	9	4	5	280	73	99.9	953.2	-10	-10
2009	9	4	6	290	66	99.9	955.7	-10	-10
2009	9	4	7	290	60	99.9	956.3	-10	-10
2009	9	4	8	280	70	99.9	954.4	-10	-10
2009	9	4	9	280	70	99.9	951.1	-10	-10
2009	9	4	10	270	68	99.9	952.6	-10	-10
2009	9	4	11	280	58	99.9	952.6	-10	-10
2009	9	4	12	280	61	99.9	952.1	-10	-10
2009	9	4	13	280	72	99.9	950.7	-10	-10
2009	9	4	14	280	78	99.9	950.7	-10	-10
2009	9	4	15	290	68	99.9	949	-10	-10
2009	9	4	16	280	79	99.9	947.8	-10	-10
2009	9	4	17	290	87	99.9	949.2	-10	-10
2009	9	4	18	280	75	99.9	945.6	-10	-10
2009	9	4	19	290	67	99.9	948	-10	-10
2009	9	4	20	280	77	99.9	940.5	-10	-10
2009	9	4	21	270	70	99.9	944.4	-10	-10
2009	9	4	22	280	52	99.9	949.1	-10	-10
2009	9	4	23	270	83	99.9	937.2	-10	-10
2009	9	5	0	270	99	99.9	932.3	-10	-10
2009	9	5	1	270	83	99.9	940.5	-10	-10
2009	9	5	2	270	85	99.9	932.3	-10	-10
2009	9	5	3	270	77	99.9	938.9	-10	-10
2009	9	5	4	270	70	99.9	937.3	-10	-10
2009	9	5	5	270	62	99.9	939.7	-10	-10
2009	9	5	6	260	77	99.9	935.6	-10	-10
2009	9	5	7	270	85	99.9	936	-10	-10
2009	9	5	8	270	51	99.9	939.6	-10	-10
2009	9	5	9	270	79	99.9	932.5	-10	-10
2009	9	5	10	280	67	99.9	935.4	-10	-10
2009	9	5	11	260	54	99.9	936.4	-10	-10
2009	9	5	12	270	67	99.9	931.6	-10	-10
2009	9	5	13	260	73	99.9	930.6	-10	-10
2009	9	5	14	260	72	99.9	928.8	-10	-10
2009	9	5	15	250	67	99.9	931.2	-10	-10
2009	9	5	16	260	81	99.9	928.9	-10	-10
2009	9	5	17	260	64	99.9	928.4	-10	-10
2009	9	5	18	240	42	99.9	935.7	-10	-10
2009	9	5	19	260	86	99.9	923.9	-10	-10
2009	9	5	20	250	56	99.9	934.5	-10	-10
2009	9	5	21	250	86	99.9	921.7	-10	-10
2009	9	5	22	260	87	99.9	919.4	-10	-10
2009	9	5	23	270	69	99.9	927.4	-10	-10
2009	9	6	0	260	63	99.9	930.2	-10	-10
2009	9	6	1	280	49	99.9	935.9	-10	-10
2009	9	6	2	350	7	99.9	938.7	-10	-10
2009	9	6	3	270	57	99.9	934.8	-10	-10
2009	9	6	4	270	70	99.9	927.5	-10	-10
2009	9	6	5	270	76	99.9	930.2	-10	-10
2009	9	6	6	270	57	99.9	933.9	-10	-10
2009	9	6	7	290	47	99.9	936.9	-10	-10
2009	9	6	8	280	35	99.9	939.6	-10	-10
2009	9	6	9	290	25	99.9	940	-10	-10
2009	9	6	10	300	37	99.9	939.5	-10	-10
2009	9	6	11	300	32	99.9	939.7	-10	-10
2009	9	6	12	300	39	99.9	939.1	-10	-10
2009	9	6	13	310	40	99.9	939.4	-10	-10
2009	9	6	14	310	20	99.9	941.1	-10	-10
2009	9	6	15	300	28	99.9	940.7	-10	-10
2009	9	6	16	300	38	99.9	940.6	-10	-10
2009	9	6	17	310	38	99.9	941.4	-10	-10
2009	9	6	18	310	42	99.9	942.4	-10	-10
2009	9	6	19	260	49	99.9	940.9	-10	-10
2009	9	6	20	270	68	99.9	938.7	-10	-10
2009	9	6	21	300	40	99.9	942.9	-10	-10
2009	9	6	22	260	49	99.9	940.1	-10	-10
2009	9	6	23	260	76	99.9	939.3	-10	-10
2009	9	7	0	280	30	99.9	946	-10	-10
2009	9	7	1	290	44	99.9	946.7	-10	-10
2009	9	7	2	300	56	99.9	944.8	-10	-10
2009	9	7	3	290	71	99.9	939.5	-10	-10
2009	9	7	4	290	89	99.9	937.9	-10	-10
2009	9	7	5	290	78	99.9	935.6	-10	-10
2009	9	7	6	290	77	99.9	941.2	-10	-10
2009	9	7	7	290	66	99.9	942.5	-10	-10
2009	9	7	8	290	80	99.9	941	-10	-10
2009	9	7	9	290	76	99.9	940.3	-10	-10
2009	9	7	10	300	69	99.9	945	-10	-10
2009	9	7	11	290	65	99.9	943.4	-10	-10
2009	9	7	12	300	75	99.9	948	-10	-10
2009	9	7	13	290	72	99.9	947.2	-10	-10
2009	9	7	14	290	72	99.9	946.2	-10	-10
2009	9	7	15	290	63	99.9	949.6	-10	-10
2009	9	7	16	290	61	99.9	951	-10	-10
2009	9	7	17	290	59	99.9	952.1	-10	-10
2009	9	7	18	290	49	99.9	953.3	-10	-10
2009	9	7	19	290	59	99.9	954.3	-10	-10
2009	9	7	20	290	73	99.9	951.5	-10	-10
2009	9	7	21	290	73	99.9	948.5	-10	-10
2009	9	7	22	300	48	99.9	955.1	-10	-10
2009	9	7	23	330	22	99.9	957.3	-10	-10
2009	9	8	0	300	46	99.9	958.4	-10	-10
2009	9	8	1	300	47	99.9	959.1	-10	-10
2009	9	8	2	310	33	99.9	960.1	-10	-10
2009	9	8	3	300	48	99.9	960.2	-10	-10
2009	9	8	4	300	63	99.9	958.6	-10	-10
2009	9	8	5	310	26	99.9	960.9	-10	-10
2009	9	8	6	350	6	99.9	963.1	-10	-10
2009	9	8	7	320	2	99.9	963.1	-10	-10
2009	9	8	8	10	0	99.9	963.3	-10	-10
2009	9	8	9	350	10	99.9	963.2	-10	-10
2009	9	8	10	340	1	99.9	963.6	-10	-10
2009	9	8	11	190	7	99.9	962.6	-10	-10
2009	9	8	12	320	0	99.9	962.2	-10	-10
2009	9	8	13	240	2	99.9	961.6	-10	-10
2009	9	8	14	180	3	99.9	960.6	-10	-10
2009	9	8	15	200	2	99.9	959.4	-10	-10
2009	9	8	16	330	0	99.9	958.6	-10	-10
2009	9	8	17	250	1	99.9	958	-10	-10
2009	9	8	18	310	1	99.9	956.6	-10	-10
2009	9	8	19	290	4	99.9	956.1	-10	-10
2009	9	8	20	290	2	99.9	956	-10	-10
2009	9	8	21	330	6	99.9	955.7	-10	-10
2009	9	8	22	310	3	99.9	955.3	-10	-10
2009	9	8	23	300	4	99.9	954.4	-10	-10
2009	9	9	0	340	16	99.9	953.5	-10	-10
2009	9	9	1	340	14	99.9	953	-10	-10
2009	9	9	2	250	2	99.9	953.2	-10	-10
2009	9	9	3	330	10	99.9	952.4	-10	-10
2009	9	9	4	300	36	99.9	951.3	-10	-10
2009	9	9	5	200	10	99.9	952.6	-10	-10
2009	9	9	6	300	41	99.9	950.6	-10	-10
2009	9	9	7	300	28	99.9	950.7	-10	-10
2009	9	9	8	300	44	99.9	949.1	-10	-10
2009	9	9	9	300	55	99.9	947.8	-10	-10
2009	9	9	10	300	31	99.9	948.4	-10	-10
2009	9	9	11	300	40	99.9	947.5	-10	-10
2009	9	9	12	300	40	99.9	947.2	-10	-10
2009	9	9	13	0	3	99.9	948.1	-10	-10
2009	9	9	14	220	6	99.9	948.5	-10	-10
2009	9	9	15	40	6	99.9	949.1	-10	-10
2009	9	9	16	310	1	99.9	949.3	-10	-10
2009	9	9	17	200	11	99.9	949.3	-10	-10
2009	9	9	18	260	6	99.9	949.8	-10	-10
2009	9	9	19	300	14	99.9	950	-10	-10
2009	9	9	20	320	6	99.9	950.3	-10	-10
2009	9	9	21	280	23	99.9	949.6	-10	-10
2009	9	9	22	280	14	99.9	950.8	-10	-10
2009	9	9	23	260	6	99.9	951.2	-10	-10
2009	9	10	0	360	10	99.9	951.3	-10	-10
2009	9	10	1	320	12	99.9	951.5	-10	-10
2009	9	10	2	360	17	99.9	950.7	-10	-10
2009	9	10	3	350	16	99.9	951.1	-10	-10
2009	9	10	4	340	16	99.9	950.9	-10	-10
2009	9	10	5	350	9	99.9	950.9	-10	-10
2009	9	10	6	320	6	99.9	950.7	-10	-10
2009	9	10	7	320	4	99.9	950.5	-10	-10
2009	9	10	8	320	3	99.9	950.3	-10	-10
2009	9	10	9	300	3	99.9	950.1	-10	-10
2009	9	10	10	320	2	99.9	949.7	-10	-10
2009	9	10	11	330	5	99.9	949.4	-10	-10
2009	9	10	12	230	2	99.9	949.1	-10	-10
2009	9	10	13	320	5	99.9	948.7	-10	-10
2009	9	10	14	290	4	99.9	948	-10	-10
2009	9	10	15	310	16	99.9	947.1	-10	-10
2009	9	10	16	340	15	99.9	946.8	-10	-10
2009	9	10	17	120	1	99.9	946.8	-10	-10
2009	9	10	18	130	10	99.9	946.3	-10	-10
2009	9	10	19	20	5	99.9	946.6	-10	-10
2009	9	10	20	120	10	99.9	946.1	-10	-10
2009	9	10	21	240	10	99.9	946.5	-10	-10
2009	9	10	22	260	67	99.9	935.3	-10	-10
2009	9	10	23	250	62	99.9	940.1	-10	-10
2009	9	11	0	250	57	99.9	940.5	-10	-10
2009	9	11	1	310	8	99.9	946.8	-10	-10
